,net_name,method,source_dataset,net_number,intercept,intercept_stderr,pvalue,rvalue,slope,stderr
0,alexnet,initialize,None,1,-0.15570521952902472,0.0006841269055807801,0.016349952209525287,-0.9836500477904747,-0.009383345751507576,0.0012147666946473695
1,alexnet,initialize,None,5,-0.13815014056172162,0.0005370238344310766,0.281636765617003,-0.718363234382997,-0.001392536866147943,0.0009535638241634192
2,alexnet,initialize,None,6,-0.21764345937558194,0.010348851799592008,0.7418011102528389,0.2581988897471611,0.0069454334313053465,0.01837588960678796
3,alexnet,initialize,None,7,-0.13856234185203514,0.0009265863782178038,0.0717763812345169,-0.9282236187654831,-0.005805508311015579,0.0016452887070964822
4,alexnet,transfer,search stimuli (classify),1,-0.312899637802188,0.040631142577368384,0.2812888849058196,-0.7187111150941803,-0.10546463923305287,0.07214649557826489
5,alexnet,transfer,search stimuli (classify),2,-0.30516007728608807,0.04190080951426807,0.2481279042781185,-0.7518720957218814,-0.11999097511407472,0.0744009736519365
6,alexnet,transfer,search stimuli (classify),3,-0.3044865524234926,0.04548801276006596,0.2898859357238837,-0.7101140642761162,-0.11520469265734609,0.0807705740789609
7,alexnet,transfer,search stimuli (classify),4,-0.3211820555948671,0.03990100020206321,0.2679859795079271,-0.7320140204920729,-0.10765709252156933,0.07085002173308191
8,alexnet,transfer,search stimuli (classify),5,-0.3246912007623288,0.040851521165200425,0.34036719825538486,-0.6596328017446151,-0.09003302145507625,0.07253780977235365
9,alexnet,transfer,search stimuli (classify),6,-0.30751868767732393,0.04683414918024922,0.4150340310394971,-0.5849659689605029,-0.08482280194159429,0.08316083482788181
10,alexnet,transfer,search stimuli (classify),7,-0.3101577996936362,0.03854932495196624,0.2776262928099614,-0.7223737071900385,-0.10112439128367094,0.0684499259870989
11,alexnet,transfer,search stimuli (classify),8,-0.3051298901506626,0.04186827412164338,0.27858577588398054,-0.7214142241160192,-0.1095263968084599,0.07434320233635844
12,alexnet,transfer,ImageNet,1,-0.41771881408892175,0.02667241426444703,0.0406186286088056,0.9593813713911944,0.227773238638501,0.04736074586451396
13,alexnet,transfer,ImageNet,2,-0.40345736285755024,0.022613850856562534,0.015538311880232355,0.9844616881197676,0.3183620333849773,0.04015417700164022
14,alexnet,transfer,ImageNet,3,-0.2664632332648783,0.08972732611452695,0.16181146921931797,0.838188530780682,0.3462884181641574,0.15932390098173138
15,alexnet,transfer,ImageNet,4,-0.38994063174728255,0.023036993547806073,0.04040407762202479,0.9595959223779752,0.19728294206461697,0.04090552831411307
16,alexnet,transfer,ImageNet,5,-0.4341660555316707,0.028764881735682132,0.02519706921807951,0.9748029307819205,0.31565576558078007,0.051076225803914285
17,alexnet,transfer,ImageNet,6,-0.39406183066957184,0.03750229678235434,0.1277215820014238,0.8722784179985762,0.1679835816307083,0.06659077538444517
18,alexnet,transfer,ImageNet,7,-0.3769257478371981,0.017503837362916802,0.011264910862780806,0.9887350891372192,0.29035684703001646,0.031080605781678143
19,alexnet,transfer,ImageNet,8,-0.3776186485921062,0.04529807866157873,0.1487516443975696,0.8512483556024303,0.1845202525340904,0.08043331849795976
20,alexnet,transfer,Stylized ImageNet,1,-0.2945216333509628,0.019243818504147726,0.05363405703717349,0.9463659429628265,0.14154319197844922,0.03417019504127242
21,alexnet,transfer,Stylized ImageNet,2,-0.3071740425214198,0.01927799705149562,0.05120888929920742,0.9487911107007926,0.14539464011591174,0.03423088401674021
22,alexnet,transfer,Stylized ImageNet,3,-0.29711884734740357,0.017189524265381444,0.05071082016545946,0.9492891798345405,0.13033022291628385,0.030522497221025548
23,alexnet,transfer,Stylized ImageNet,4,-0.2881214763688804,0.014313298794783224,0.03583173208406065,0.9641682679159393,0.13062927861664006,0.02541534110791662
24,alexnet,transfer,Stylized ImageNet,5,-0.28901242301250585,0.01786445406667759,0.06869223661000896,0.931307763389991,0.11470295426880454,0.03172093312107759
25,alexnet,transfer,Stylized ImageNet,6,-0.31082407698995873,0.019245071983967816,0.05330978611283799,0.946690213887162,0.14201909409507207,0.034172420776768915
26,alexnet,transfer,Stylized ImageNet,7,-0.31251425504439406,0.02327306248882252,0.04577430353490784,0.9542256964650921,0.18645653706566195,0.04132470300940445
27,alexnet,transfer,Stylized ImageNet,8,-0.29514018460729563,0.008150176855400414,0.012495736961008029,0.987504263038992,0.12824553202853264,0.014471822871841747
28,alexnet,transfer,"DomainNet, Clipart domain",1,-0.1383538406121549,0.0004128304983266749,0.00015737803862725378,0.9998426219613727,0.05842579748610449,0.000733040516037278
29,alexnet,transfer,"DomainNet, Clipart domain",2,-0.11000490833648639,0.007897165773151056,0.08567827828190164,0.9143217217180983,0.04477119293900348,0.014022564943837459
30,alexnet,transfer,"DomainNet, Clipart domain",3,-0.10699260686866059,0.004455495834695811,0.8519979711111807,0.14800202888881933,0.001674342519572633,0.00791138004363939
31,alexnet,transfer,"DomainNet, Clipart domain",4,-0.11088434610543767,0.009848888196983001,0.6310454340674905,0.36895456593250964,0.009817625651207784,0.01748813160745925
32,alexnet,transfer,"DomainNet, Clipart domain",5,-0.12113112459245556,0.003866876216962479,0.42243003678113744,-0.5775699632188626,-0.006870120633023673,0.006866200411606794
33,alexnet,transfer,"DomainNet, Clipart domain",6,-0.10827901748614234,0.005718813472904451,0.05597789799737794,0.944022102002622,0.0410960806517689,0.010154584015208997
34,alexnet,transfer,"DomainNet, Clipart domain",7,-0.12047815478067139,0.00563088679703942,0.0768817907114777,0.9231182092885223,0.03394615441620946,0.009998457430301156
35,alexnet,transfer,"DomainNet, Clipart domain",8,-0.0971984539244244,0.008345269169704822,0.8456808572653676,0.15431914273463238,0.0032731443256777378,0.014818237614289978
36,VGG16,initialize,None,2,-0.11194818789024616,0.0,1.0,0.0,0.0,0.0
37,VGG16,initialize,None,3,-0.06104576304949043,0.0,1.0,0.0,0.0,0.0
38,VGG16,initialize,None,4,-0.11194818789024616,0.0,1.0,0.0,0.0,0.0
39,VGG16,initialize,None,8,-0.06104576304949043,0.0,1.0,0.0,0.0,0.0
40,VGG16,transfer,search stimuli (classify),8,-0.33278999594125613,0.017966654330215482,0.034093168411492916,0.9659068315885071,0.16832883026411996,0.03190240453422809
41,VGG16,transfer,ImageNet,1,-0.25207951648159616,0.03679306341036287,0.069088457651274,0.930911542348726,0.23548412203998187,0.06533142851181153
42,VGG16,transfer,ImageNet,2,-0.2051490771183685,0.04352571737061657,0.25140502998135966,0.7485949700186402,0.12340491351277458,0.07728623357909477
43,VGG16,transfer,ImageNet,3,-0.14681203445593696,0.051531810713914196,0.77127580867807,0.22872419132193003,0.030403714635731025,0.09150221524615054
44,VGG16,transfer,ImageNet,4,-0.3574411940924092,0.03571762076511313,0.033556417575426045,0.966443582424574,0.3374439849498687,0.06342182388027934
45,VGG16,transfer,ImageNet,5,-0.14842939833564422,0.06285906226625168,0.9164285868251197,0.08357141317488026,0.013237889872181188,0.1116153957327314
46,VGG16,transfer,ImageNet,6,-0.44636727713120733,0.027672511891001915,0.010991113043313128,0.9890088869566869,0.4648156917660165,0.04913656447100978
47,VGG16,transfer,ImageNet,7,-0.24484583988475989,0.04174540959789437,0.15240971723018684,0.8475902827698131,0.1674390439672309,0.07412503852758776
48,VGG16,transfer,ImageNet,8,-0.39526357840897364,0.03265600132914848,0.020611264576660075,0.9793887354233399,0.39762295333370995,0.05798547385200849
49,VGG16,transfer,Stylized ImageNet,1,-0.3790471789384867,0.0617982595633803,0.07590234650266003,0.92409765349734,0.375252987810801,0.10973178644543681
50,VGG16,transfer,Stylized ImageNet,2,-0.37533128234987934,0.07031012438080986,0.10116780774977617,0.8988321922502238,0.36207890689801425,0.12484583883134055
51,VGG16,transfer,Stylized ImageNet,3,-0.37776410470051214,0.06583861729237178,0.09139487782013307,0.9086051221798669,0.35967322975092203,0.11690602848094524
52,VGG16,transfer,Stylized ImageNet,4,-0.38211365592599833,0.07055329145083888,0.10244053128880691,0.8975594687111931,0.36067671590446115,0.1252776172857422
53,VGG16,transfer,Stylized ImageNet,5,-0.39143820987862493,0.06298008009752434,0.08799260150857446,0.9120073984914255,0.3516453754294503,0.1118302804707665
54,VGG16,transfer,Stylized ImageNet,6,-0.36535943575891106,0.0754297932380739,0.1208008264372793,0.8791991735627207,0.3495264392199095,0.13393655455191
55,VGG16,transfer,Stylized ImageNet,7,-0.3692490400032086,0.06836291069615513,0.0863066553203462,0.9136933446796538,0.38595253142904773,0.121388278089051
56,VGG16,transfer,Stylized ImageNet,8,-0.38179375310405533,0.06534606496968888,0.07746586244194109,0.9225341375580589,0.3922661916829266,0.11603143028566092
57,VGG16,transfer,"DomainNet, Clipart domain",1,-0.30888345613360124,0.04001717845666183,0.06468217502861084,0.9353178249713892,0.26564914499292713,0.07105631309975291
58,VGG16,transfer,"DomainNet, Clipart domain",2,-0.33678389672392106,0.02996800691912819,0.02929499166507865,0.9707050083349213,0.30402467608365796,0.053212549328715636
59,VGG16,transfer,"DomainNet, Clipart domain",3,-0.32438897510360054,0.037467126647480566,0.03895282431809066,0.9610471756819093,0.32715442713309373,0.06652832570129077
60,VGG16,transfer,"DomainNet, Clipart domain",4,-0.32065454610391636,0.042413094907651216,0.0585053272852677,0.9414946727147323,0.29752483733270485,0.07531061078060326
61,VGG16,transfer,"DomainNet, Clipart domain",5,-0.3160706283535461,0.032225574463177836,0.03961702365100782,0.9603829763489922,0.27887201894393493,0.057221188429234904
62,VGG16,transfer,"DomainNet, Clipart domain",6,-0.3282834851062813,0.02904760559055196,0.031842831976091945,0.968157168023908,0.28209258909645135,0.05157824307567561
63,VGG16,transfer,"DomainNet, Clipart domain",7,-0.33091326436091084,0.023955323530021545,0.018880388062339378,0.9811196119376606,0.30516476962245026,0.04253615659081333
64,VGG16,transfer,"DomainNet, Clipart domain",8,-0.3305751548553304,0.02781582690269226,0.03558422502258152,0.9644157749774185,0.2547897903542779,0.049391041091683886
